Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,South Carolina,SEC,,36,1,80.3,51.8,28.57,,15.70,,22.28,21.99,44.26,123.27,62.44,60.84
2,Louisiana State,SEC,,34,2,82.3,57.9,24.36,,10.78,,22.24,12.91,35.14,117.88,71.49,46.39
3,Connecticut,Big East,,31,6,75.9,58.8,17.08,,16.96,,19.24,14.81,34.04,116.25,69.99,46.26
4,Stanford,Pac-12,,29,6,76.1,58.2,17.91,,15.99,,18.53,15.38,33.91,119.05,72.24,46.81
5,Indiana,Big Ten,,28,4,80.9,62.1,18.84,,14.66,,20.97,12.54,33.51,119.35,74.34,45.01
6,Iowa,Big Ten,,31,7,87.3,71.8,15.50,,17.75,,29.01,4.23,33.25,123.92,80.50,43.43
7,Utah,Pac-12,,27,5,82.8,66.0,16.84,,13.38,,24.68,5.55,30.23,120.32,80.51,39.81
8,Notre Dame,ACC,,27,6,73.9,58.9,14.97,,14.68,,14.76,14.89,29.65,110.65,71.33,39.32
9,Texas,Big 12,,26,10,72.9,57.4,15.42,,14.18,,14.09,15.50,29.59,110.82,71.32,39.50
10,Virginia Tech,ACC,,31,5,72.4,57.8,14.67,,14.45,,14.77,14.34,29.12,116.41,76.10,40.31
11,Tennessee,SEC,,25,12,77.1,65.9,11.14,,17.52,,19.37,9.28,28.66,114.22,75.99,38.23
12,Maryland,Big Ten,,28,7,79.1,68.7,10.40,,18.11,,20.39,8.12,28.51,114.80,77.13,37.67
13,Duke,ACC,,26,7,63.6,51.0,12.58,,15.24,,6.10,21.72,27.82,103.02,65.01,38.01
14,Iowa State,Big 12,,22,10,75.4,64.6,10.81,,16.49,,16.26,11.05,27.31,112.97,76.41,36.56
15,Ohio State,Big Ten,,28,8,80.1,68.4,11.61,,15.30,,20.08,6.84,26.91,112.55,77.71,34.84
16,Oregon,Pac-12,,20,15,74.4,63.3,11.03,,14.75,,16.69,9.08,25.78,113.80,78.57,35.23
17,Florida State,ACC,,23,10,79.3,66.9,12.36,,12.70,,21.21,3.85,25.06,110.15,78.41,31.75
18,Louisville,ACC,,26,12,73.3,64.2,9.05,,15.90,,14.81,10.15,24.96,111.97,78.24,33.74
19,NC State,ACC,,20,12,70.8,62.6,8.25,,16.68,,14.35,10.58,24.93,109.88,76.25,33.63
20,UCLA,Pac-12,,27,10,69.7,61.7,8.05,,16.87,,12.61,12.32,24.93,109.93,75.71,34.22
21,Villanova,Big East,,30,7,70.8,58.7,12.11,,12.51,,11.85,12.77,24.61,113.39,78.41,34.98
22,North Carolina,ACC,,22,11,68.9,59.8,9.12,,15.29,,11.82,12.60,24.41,105.66,72.95,32.71
23,Colorado,Pac-12,,25,9,69.2,59.3,9.88,,14.51,,11.06,13.34,24.40,107.98,74.03,33.95
24,Michigan,Big Ten,,23,10,73.5,63.4,10.12,,13.78,,13.07,10.83,23.90,110.22,78.50,31.72
25,Arizona,Pac-12,,22,10,74.1,65.1,8.97,,14.90,,14.76,9.11,23.87,109.05,77.63,31.42
26,Mississippi,SEC,,25,9,68.6,56.7,11.91,,11.96,,8.91,14.96,23.87,104.64,71.91,32.73
27,Kansas,Big 12,,25,11,72.6,62.4,10.17,,13.00,,12.85,10.32,23.17,108.05,76.52,31.53
28,Creighton,Big East,,22,9,71.0,61.8,9.13,,13.96,,12.31,10.78,23.09,114.31,81.89,32.42
29,Baylor,Big 12,,20,13,71.8,63.5,8.24,,14.78,,12.58,10.45,23.02,105.87,74.98,30.89
30,Mississippi State,SEC,,22,11,71.1,59.0,12.03,,10.58,,10.76,11.85,22.61,105.07,75.45,29.62
31,Georgia,SEC,,22,12,67.1,58.7,8.32,,13.91,,7.53,14.70,22.23,103.28,73.05,30.23
32,Southern California,Pac-12,,21,10,64.2,55.1,9.16,,13.05,,5.44,16.77,22.21,100.08,69.72,30.36
33,Oklahoma,Big 12,,26,7,84.2,75.4,8.73,,13.19,,24.92,-2.99,21.92,114.38,85.99,28.39
34,Michigan State,Big Ten,,16,14,78.2,67.1,11.10,,10.58,,16.43,5.26,21.68,107.94,80.23,27.71
35,Washington State,Pac-12,,23,11,67.0,61.3,5.74,,15.73,,8.77,12.70,21.47,106.43,77.39,29.04
36,Alabama,SEC,,20,11,70.0,60.4,9.65,,11.72,,11.57,9.80,21.37,109.23,80.16,29.07
37,Nebraska,Big Ten,,18,15,71.2,65.3,5.97,,14.68,,11.04,9.61,20.65,105.30,77.64,27.66
38,Oklahoma State,Big 12,,21,12,75.3,68.2,7.09,,13.55,,15.43,5.20,20.64,110.98,84.06,26.91
39,Miami (FL),ACC,,22,13,69.6,63.6,6.00,,14.25,,11.02,9.24,20.25,106.20,79.57,26.63
40,Arkansas,SEC,,24,13,72.2,65.6,6.57,,13.20,,12.70,7.06,19.77,104.55,78.19,26.36
41,Illinois,Big Ten,,22,10,75.3,65.2,10.09,,9.51,,12.95,6.66,19.60,111.46,85.71,25.76
42,South Dakota State,Summit,,29,6,78.3,60.6,17.77,,1.63,,12.03,7.38,19.40,108.04,81.43,26.61
43,Purdue,Big Ten,,19,11,70.5,65.2,5.27,,14.04,,9.12,10.19,19.31,105.53,80.26,25.27
44,Marquette,Big East,,21,11,65.0,58.2,6.78,,12.32,,6.77,12.33,19.10,100.60,74.67,25.93
45,South Florida,AAC,,27,7,70.1,60.0,10.18,,8.68,,10.63,8.23,18.86,108.98,83.20,25.78
